Charge Amount,Bank,Place of Business
$7396.25,Bank of America,"Mcdon\nalds"
$7397.25,Chase,"Wen\ndys"
$7398.25,Wells Fargo,"Apple\n Store"
$7399.25,Bank of America,"Microsoft\n Store"
$7400.25,Chase,"Jack in\n the box"
$7401.25,Wells Fargo,"Mcdon\nalds"
$7402.25,Bank of America,"Wen\ndys"
$7403.25,Chase,"Apple\n Store"
$7404.25,Wells Fargo,"Microsoft\n Store"
$7405.25,Bank of America,"Jack in\n the box"
$7406.25,Chase,"Mcdon\nalds"
$7407.25,Wells Fargo,"Wen\ndys"
$7408.25,Bank of America,"Apple\n Store"
$7409.25,Chase,"Microsoft\n Store"
$7410.25,Wells Fargo,"Jack in\n the box"
$7411.25,Bank of America,"Mcdon\nalds"
$7412.25,Chase,"Wen\ndys"
$7413.25,Wells Fargo,"Apple\n Store"
$7414.25,Bank of America,"Microsoft\n Store"
$7415.25,Chase,"Jack in\n the box"
$7416.25,Wells Fargo,"Mcdon\nalds"
$7417.25,Bank of America,"Wen\ndys"
$7418.25,Chase,"Apple\n Store"
$7419.25,Wells Fargo,"Microsoft\n Store"
$7420.25,Bank of America,"Jack in\n the box"
$7421.25,Chase,"Mcdon\nalds"
$7422.25,Wells Fargo,"Wen\ndys"
$7423.25,Bank of America,"Apple\n Store"
$7424.25,Chase,"Microsoft\n Store"
$7425.25,Wells Fargo,"Jack in\n the box"
$7426.25,Bank of America,"Mcdon\nalds"
$7427.25,Chase,"Wen\ndys"
$7428.25,Wells Fargo,"Apple\n Store"
$7429.25,Bank of America,"Microsoft\n Store"
$7430.25,Chase,"Jack in\n the box"
$7431.25,Wells Fargo,"Mcdon\nalds"
$7432.25,Bank of America,"Wen\ndys"
$7433.25,Chase,"Apple\n Store"
$7434.25,Wells Fargo,"Microsoft\n Store"
$7435.25,Bank of America,"Jack in\n the box"
$7436.25,Chase,"Mcdon\nalds"
$7437.25,Wells Fargo,"Wen\ndys"
$7438.25,Bank of America,"Apple\n Store"
$7439.25,Chase,"Microsoft\n Store"
$7440.25,Wells Fargo,"Jack in\n the box"
$7441.25,Bank of America,"Mcdon\nalds"
$7442.25,Chase,"Wen\ndys"
$7443.25,Wells Fargo,"Apple\n Store"
$7444.25,Bank of America,"Microsoft\n Store"
$7445.25,Chase,"Jack in\n the box"
$7446.25,Wells Fargo,"Mcdon\nalds"
$7447.25,Bank of America,"Wen\ndys"
$7448.25,Chase,"Apple\n Store"
$7449.25,Wells Fargo,"Microsoft\n Store"
$7450.25,Bank of America,"Jack in\n the box"
$7451.25,Chase,"Mcdon\nalds"
$7452.25,Wells Fargo,"Wen\ndys"
$7453.25,Bank of America,"Apple\n Store"
$7454.25,Chase,"Microsoft\n Store"
$7455.25,Wells Fargo,"Jack in\n the box"
$7456.25,Bank of America,"Mcdon\nalds"
$7457.25,Chase,"Wen\ndys"
$7458.25,Wells Fargo,"Apple\n Store"
$7459.25,Bank of America,"Microsoft\n Store"
$7460.25,Chase,"Jack in\n the box"
$7461.25,Wells Fargo,"Mcdon\nalds"
$7462.25,Bank of America,"Wen\ndys"
$7463.25,Chase,"Apple\n Store"
$7464.25,Wells Fargo,"Microsoft\n Store"
$7465.25,Bank of America,"Jack in\n the box"
$7466.25,Chase,"Mcdon\nalds"
$7467.25,Wells Fargo,"Wen\ndys"
$7468.25,Bank of America,"Apple\n Store"
$7469.25,Chase,"Microsoft\n Store"
$7470.25,Wells Fargo,"Jack in\n the box"
$7471.25,Bank of America,"Mcdon\nalds"
$7472.25,Chase,"Wen\ndys"
$7473.25,Wells Fargo,"Apple\n Store"
$7474.25,Bank of America,"Microsoft\n Store"
$7475.25,Chase,"Jack in\n the box"
$7476.25,Wells Fargo,"Mcdon\nalds"
$7477.25,Bank of America,"Wen\ndys"
$7478.25,Chase,"Apple\n Store"
$7479.25,Wells Fargo,"Microsoft\n Store"
$7480.25,Bank of America,"Jack in\n the box"
$7481.25,Chase,"Mcdon\nalds"
$7482.25,Wells Fargo,"Wen\ndys"
$7483.25,Bank of America,"Apple\n Store"
$7484.25,Chase,"Microsoft\n Store"
$7485.25,Wells Fargo,"Jack in\n the box"
$7486.25,Bank of America,"Mcdon\nalds"
$7487.25,Chase,"Wen\ndys"
$7488.25,Wells Fargo,"Apple\n Store"
$7489.25,Bank of America,"Microsoft\n Store"
$7490.25,Chase,"Jack in\n the box"
$7491.25,Wells Fargo,"Mcdon\nalds"
$7492.25,Bank of America,"Wen\ndys"
$7493.25,Chase,"Apple\n Store"
$7494.25,Wells Fargo,"Microsoft\n Store"
$7495.25,Bank of America,"Jack in\n the box"
$7496.25,Chase,"Mcdon\nalds"
$7497.25,Wells Fargo,"Wen\ndys"
$7498.25,Bank of America,"Apple\n Store"
$7499.25,Chase,"Microsoft\n Store"
$7500.25,Wells Fargo,"Jack in\n the box"
$7501.25,Bank of America,"Mcdon\nalds"
$7502.25,Chase,"Wen\ndys"
$7503.25,Wells Fargo,"Apple\n Store"
$7504.25,Bank of America,"Microsoft\n Store"
$7505.25,Chase,"Jack in\n the box"
$7506.25,Wells Fargo,"Mcdon\nalds"
$7507.25,Bank of America,"Wen\ndys"
$7508.25,Chase,"Apple\n Store"
$7509.25,Wells Fargo,"Microsoft\n Store"
$7510.25,Bank of America,"Jack in\n the box"
$7511.25,Chase,"Mcdon\nalds"
$7512.25,Wells Fargo,"Wen\ndys"
$7513.25,Bank of America,"Apple\n Store"
$7514.25,Chase,"Microsoft\n Store"
$7515.25,Wells Fargo,"Jack in\n the box"
$7516.25,Bank of America,"Mcdon\nalds"
$7517.25,Chase,"Wen\ndys"
$7518.25,Wells Fargo,"Apple\n Store"
$7519.25,Bank of America,"Microsoft\n Store"
$7520.25,Chase,"Jack in\n the box"
$7521.25,Wells Fargo,"Mcdon\nalds"
$7522.25,Bank of America,"Wen\ndys"
$7523.25,Chase,"Apple\n Store"
$7524.25,Wells Fargo,"Microsoft\n Store"
$7525.25,Bank of America,"Jack in\n the box"
$7526.25,Chase,"Mcdon\nalds"
$7527.25,Wells Fargo,"Wen\ndys"
$7528.25,Bank of America,"Apple\n Store"
$7529.25,Chase,"Microsoft\n Store"
$7530.25,Wells Fargo,"Jack in\n the box"
$7531.25,Bank of America,"Mcdon\nalds"
$7532.25,Chase,"Wen\ndys"
$7533.25,Wells Fargo,"Apple\n Store"
$7534.25,Bank of America,"Microsoft\n Store"
$7535.25,Chase,"Jack in\n the box"
$7536.25,Wells Fargo,"Mcdon\nalds"
$7537.25,Bank of America,"Wen\ndys"
$7538.25,Chase,"Apple\n Store"
$7539.25,Wells Fargo,"Microsoft\n Store"
$7540.25,Bank of America,"Jack in\n the box"
$7541.25,Chase,"Mcdon\nalds"
$7542.25,Wells Fargo,"Wen\ndys"
$7543.25,Bank of America,"Apple\n Store"
$7544.25,Chase,"Microsoft\n Store"
$7545.25,Wells Fargo,"Jack in\n the box"
$7546.25,Bank of America,"Mcdon\nalds"
$7547.25,Chase,"Wen\ndys"
$7548.25,Wells Fargo,"Apple\n Store"
$7549.25,Bank of America,"Microsoft\n Store"
$7550.25,Chase,"Jack in\n the box"
$7551.25,Wells Fargo,"Mcdon\nalds"
$7552.25,Bank of America,"Wen\ndys"
$7553.25,Chase,"Apple\n Store"
$7554.25,Wells Fargo,"Microsoft\n Store"
$7555.25,Bank of America,"Jack in\n the box"
$7556.25,Chase,"Mcdon\nalds"
$7557.25,Wells Fargo,"Wen\ndys"
$7558.25,Bank of America,"Apple\n Store"
$7559.25,Chase,"Microsoft\n Store"
$7560.25,Wells Fargo,"Jack in\n the box"
$7561.25,Bank of America,"Mcdon\nalds"
$7562.25,Chase,"Wen\ndys"
$7563.25,Wells Fargo,"Apple\n Store"
$7564.25,Bank of America,"Microsoft\n Store"
$7565.25,Chase,"Jack in\n the box"
$7566.25,Wells Fargo,"Mcdon\nalds"
$7567.25,Bank of America,"Wen\ndys"
$7568.25,Chase,"Apple\n Store"
$7569.25,Wells Fargo,"Microsoft\n Store"
$7570.25,Bank of America,"Jack in\n the box"
$7571.25,Chase,"Mcdon\nalds"
$7572.25,Wells Fargo,"Wen\ndys"
$7573.25,Bank of America,"Apple\n Store"
$7574.25,Chase,"Microsoft\n Store"
$7575.25,Wells Fargo,"Jack in\n the box"
$7576.25,Bank of America,"Mcdon\nalds"
$7577.25,Chase,"Wen\ndys"
$7578.25,Wells Fargo,"Apple\n Store"
$7579.25,Bank of America,"Microsoft\n Store"
$7580.25,Chase,"Jack in\n the box"
$7581.25,Wells Fargo,"Mcdon\nalds"
$7582.25,Bank of America,"Wen\ndys"
$7583.25,Chase,"Apple\n Store"
$7584.25,Wells Fargo,"Microsoft\n Store"
$7585.25,Bank of America,"Jack in\n the box"
$7586.25,Chase,"Mcdon\nalds"
$7587.25,Wells Fargo,"Wen\ndys"
$7588.25,Bank of America,"Apple\n Store"
$7589.25,Chase,"Microsoft\n Store"
$7590.25,Wells Fargo,"Jack in\n the box"
$7591.25,Bank of America,"Mcdon\nalds"
$7592.25,Chase,"Wen\ndys"
$7593.25,Wells Fargo,"Apple\n Store"
$7594.25,Bank of America,"Microsoft\n Store"
$7595.25,Chase,"Jack in\n the box"
$7596.25,Wells Fargo,"Mcdon\nalds"
$7597.25,Bank of America,"Wen\ndys"
$7598.25,Chase,"Apple\n Store"
$7599.25,Wells Fargo,"Microsoft\n Store"
$7600.25,Bank of America,"Jack in\n the box"
$7601.25,Chase,"Mcdon\nalds"
$7602.25,Wells Fargo,"Wen\ndys"
$7603.25,Bank of America,"Apple\n Store"
$7604.25,Chase,"Microsoft\n Store"
$7605.25,Wells Fargo,"Jack in\n the box"
$7606.25,Bank of America,"Mcdon\nalds"
$7607.25,Chase,"Wen\ndys"
$7608.25,Wells Fargo,"Apple\n Store"
$7609.25,Bank of America,"Microsoft\n Store"
$7610.25,Chase,"Jack in\n the box"
$7611.25,Wells Fargo,"Mcdon\nalds"
$7612.25,Bank of America,"Wen\ndys"
$7613.25,Chase,"Apple\n Store"
$7614.25,Wells Fargo,"Microsoft\n Store"
$7615.25,Bank of America,"Jack in\n the box"
$7616.25,Chase,"Mcdon\nalds"
$7617.25,Wells Fargo,"Wen\ndys"
$7618.25,Bank of America,"Apple\n Store"
$7619.25,Chase,"Microsoft\n Store"
$7620.25,Wells Fargo,"Jack in\n the box"
$7621.25,Bank of America,"Mcdon\nalds"
$7622.25,Chase,"Wen\ndys"
$7623.25,Wells Fargo,"Apple\n Store"
$7624.25,Bank of America,"Microsoft\n Store"
$7625.25,Chase,"Jack in\n the box"
$7626.25,Wells Fargo,"Mcdon\nalds"
$7627.25,Bank of America,"Wen\ndys"
$7628.25,Chase,"Apple\n Store"
$7629.25,Wells Fargo,"Microsoft\n Store"
$7630.25,Bank of America,"Jack in\n the box"
$7631.25,Chase,"Mcdon\nalds"
$7632.25,Wells Fargo,"Wen\ndys"
$7633.25,Bank of America,"Apple\n Store"
$7634.25,Chase,"Microsoft\n Store"
$7635.25,Wells Fargo,"Jack in\n the box"
$7636.25,Bank of America,"Mcdon\nalds"
$7637.25,Chase,"Wen\ndys"
$7638.25,Wells Fargo,"Apple\n Store"
$7639.25,Bank of America,"Microsoft\n Store"
$7640.25,Chase,"Jack in\n the box"
$7641.25,Wells Fargo,"Mcdon\nalds"
$7642.25,Bank of America,"Wen\ndys"
$7643.25,Chase,"Apple\n Store"
$7644.25,Wells Fargo,"Microsoft\n Store"
$7645.25,Bank of America,"Jack in\n the box"
$7646.25,Chase,"Mcdon\nalds"
$7647.25,Wells Fargo,"Wen\ndys"
$7648.25,Bank of America,"Apple\n Store"
$7649.25,Chase,"Microsoft\n Store"
$7650.25,Wells Fargo,"Jack in\n the box"
$7651.25,Bank of America,"Mcdon\nalds"
$7652.25,Chase,"Wen\ndys"
$7653.25,Wells Fargo,"Apple\n Store"
$7654.25,Bank of America,"Microsoft\n Store"
$7655.25,Chase,"Jack in\n the box"
$7656.25,Wells Fargo,"Mcdon\nalds"
$7657.25,Bank of America,"Wen\ndys"
$7658.25,Chase,"Apple\n Store"
$7659.25,Wells Fargo,"Microsoft\n Store"
$7660.25,Bank of America,"Jack in\n the box"
$7661.25,Chase,"Mcdon\nalds"
$7662.25,Wells Fargo,"Wen\ndys"
$7663.25,Bank of America,"Apple\n Store"
$7664.25,Chase,"Microsoft\n Store"
$7665.25,Wells Fargo,"Jack in\n the box"
$7666.25,Bank of America,"Mcdon\nalds"
$7667.25,Chase,"Wen\ndys"
$7668.25,Wells Fargo,"Apple\n Store"
$7669.25,Bank of America,"Microsoft\n Store"
$7670.25,Chase,"Jack in\n the box"
$7671.25,Wells Fargo,"Mcdon\nalds"
$7672.25,Bank of America,"Wen\ndys"
$7673.25,Chase,"Apple\n Store"
$7674.25,Wells Fargo,"Microsoft\n Store"
$7675.25,Bank of America,"Jack in\n the box"
$7676.25,Chase,"Mcdon\nalds"
$7677.25,Wells Fargo,"Wen\ndys"
$7678.25,Bank of America,"Apple\n Store"
$7679.25,Chase,"Microsoft\n Store"
$7680.25,Wells Fargo,"Jack in\n the box"
$7681.25,Bank of America,"Mcdon\nalds"
$7682.25,Chase,"Wen\ndys"
$7683.25,Wells Fargo,"Apple\n Store"
$7684.25,Bank of America,"Microsoft\n Store"
$7685.25,Chase,"Jack in\n the box"
$7686.25,Wells Fargo,"Mcdon\nalds"
$7687.25,Bank of America,"Wen\ndys"
$7688.25,Chase,"Apple\n Store"
$7689.25,Wells Fargo,"Microsoft\n Store"
$7690.25,Bank of America,"Jack in\n the box"
$7691.25,Chase,"Mcdon\nalds"
$7692.25,Wells Fargo,"Wen\ndys"
$7693.25,Bank of America,"Apple\n Store"
$7694.25,Chase,"Microsoft\n Store"
$7695.25,Wells Fargo,"Jack in\n the box"
$7696.25,Bank of America,"Mcdon\nalds"
$7697.25,Chase,"Wen\ndys"
$7698.25,Wells Fargo,"Apple\n Store"
$7699.25,Bank of America,"Microsoft\n Store"
$7700.25,Chase,"Jack in\n the box"
$7701.25,Wells Fargo,"Mcdon\nalds"
$7702.25,Bank of America,"Wen\ndys"
$7703.25,Chase,"Apple\n Store"
$7704.25,Wells Fargo,"Microsoft\n Store"
$7705.25,Bank of America,"Jack in\n the box"
$7706.25,Chase,"Mcdon\nalds"
$7707.25,Wells Fargo,"Wen\ndys"
$7708.25,Bank of America,"Apple\n Store"
$7709.25,Chase,"Microsoft\n Store"
$7710.25,Wells Fargo,"Jack in\n the box"
$7711.25,Bank of America,"Mcdon\nalds"
$7712.25,Chase,"Wen\ndys"
$7713.25,Wells Fargo,"Apple\n Store"
$7714.25,Bank of America,"Microsoft\n Store"
$7715.25,Chase,"Jack in\n the box"
$7716.25,Wells Fargo,"Mcdon\nalds"
$7717.25,Bank of America,"Wen\ndys"
$7718.25,Chase,"Apple\n Store"
$7719.25,Wells Fargo,"Microsoft\n Store"
$7720.25,Bank of America,"Jack in\n the box"
$7721.25,Chase,"Mcdon\nalds"
$7722.25,Wells Fargo,"Wen\ndys"
$7723.25,Bank of America,"Apple\n Store"
$7724.25,Chase,"Microsoft\n Store"
$7725.25,Wells Fargo,"Jack in\n the box"
$7726.25,Bank of America,"Mcdon\nalds"
$7727.25,Chase,"Wen\ndys"
$7728.25,Wells Fargo,"Apple\n Store"
$7729.25,Bank of America,"Microsoft\n Store"
$7730.25,Chase,"Jack in\n the box"
$7731.25,Wells Fargo,"Mcdon\nalds"
$7732.25,Bank of America,"Wen\ndys"
$7733.25,Chase,"Apple\n Store"
$7734.25,Wells Fargo,"Microsoft\n Store"
$7735.25,Bank of America,"Jack in\n the box"
$7736.25,Chase,"Mcdon\nalds"
$7737.25,Wells Fargo,"Wen\ndys"
$7738.25,Bank of America,"Apple\n Store"
$7739.25,Chase,"Microsoft\n Store"
$7740.25,Wells Fargo,"Jack in\n the box"
$7741.25,Bank of America,"Mcdon\nalds"
$7742.25,Chase,"Wen\ndys"
$7743.25,Wells Fargo,"Apple\n Store"
$7744.25,Bank of America,"Microsoft\n Store"
$7745.25,Chase,"Jack in\n the box"
$7746.25,Wells Fargo,"Mcdon\nalds"
$7747.25,Bank of America,"Wen\ndys"
$7748.25,Chase,"Apple\n Store"
$7749.25,Wells Fargo,"Microsoft\n Store"
$7750.25,Bank of America,"Jack in\n the box"
$7751.25,Chase,"Mcdon\nalds"
$7752.25,Wells Fargo,"Wen\ndys"
$7753.25,Bank of America,"Apple\n Store"
$7754.25,Chase,"Microsoft\n Store"
$7755.25,Wells Fargo,"Jack in\n the box"
$7756.25,Bank of America,"Mcdon\nalds"
$7757.25,Chase,"Wen\ndys"
$7758.25,Wells Fargo,"Apple\n Store"
$7759.25,Bank of America,"Microsoft\n Store"
$7760.25,Chase,"Jack in\n the box"
$7761.25,Wells Fargo,"Mcdon\nalds"
$7762.25,Bank of America,"Wen\ndys"
$7763.25,Chase,"Apple\n Store"
$7764.25,Wells Fargo,"Microsoft\n Store"
$7765.25,Bank of America,"Jack in\n the box"
$7766.25,Chase,"Mcdon\nalds"
$7767.25,Wells Fargo,"Wen\ndys"
$7768.25,Bank of America,"Apple\n Store"
$7769.25,Chase,"Microsoft\n Store"
$7770.25,Wells Fargo,"Jack in\n the box"
$7771.25,Bank of America,"Mcdon\nalds"
$7772.25,Chase,"Wen\ndys"
$7773.25,Wells Fargo,"Apple\n Store"
$7774.25,Bank of America,"Microsoft\n Store"
$7775.25,Chase,"Jack in\n the box"
$7776.25,Wells Fargo,"Mcdon\nalds"
$7777.25,Bank of America,"Wen\ndys"
$7778.25,Chase,"Apple\n Store"
$7779.25,Wells Fargo,"Microsoft\n Store"
$7780.25,Bank of America,"Jack in\n the box"
$7781.25,Chase,"Mcdon\nalds"
$7782.25,Wells Fargo,"Wen\ndys"
$7783.25,Bank of America,"Apple\n Store"
$7784.25,Chase,"Microsoft\n Store"
$7785.25,Wells Fargo,"Jack in\n the box"
$7786.25,Bank of America,"Mcdon\nalds"
$7787.25,Chase,"Wen\ndys"
$7788.25,Wells Fargo,"Apple\n Store"
$7789.25,Bank of America,"Microsoft\n Store"
$7790.25,Chase,"Jack in\n the box"
$7791.25,Wells Fargo,"Mcdon\nalds"
$7792.25,Bank of America,"Wen\ndys"
$7793.25,Chase,"Apple\n Store"
$7794.25,Wells Fargo,"Microsoft\n Store"
$7795.25,Bank of America,"Jack in\n the box"
$7796.25,Chase,"Mcdon\nalds"
$7797.25,Wells Fargo,"Wen\ndys"
$7798.25,Bank of America,"Apple\n Store"
$7799.25,Chase,"Microsoft\n Store"
$7800.25,Wells Fargo,"Jack in\n the box"
$7801.25,Bank of America,"Mcdon\nalds"
$7802.25,Chase,"Wen\ndys"
$7803.25,Wells Fargo,"Apple\n Store"
$7804.25,Bank of America,"Microsoft\n Store"
$7805.25,Chase,"Jack in\n the box"
$7806.25,Wells Fargo,"Mcdon\nalds"
$7807.25,Bank of America,"Wen\ndys"
$7808.25,Chase,"Apple\n Store"
$7809.25,Wells Fargo,"Microsoft\n Store"
$7810.25,Bank of America,"Jack in\n the box"
$7811.25,Chase,"Mcdon\nalds"
$7812.25,Wells Fargo,"Wen\ndys"
$7813.25,Bank of America,"Apple\n Store"
$7814.25,Chase,"Microsoft\n Store"
$7815.25,Wells Fargo,"Jack in\n the box"
$7816.25,Bank of America,"Mcdon\nalds"
$7817.25,Chase,"Wen\ndys"
$7818.25,Wells Fargo,"Apple\n Store"
$7819.25,Bank of America,"Microsoft\n Store"
$7820.25,Chase,"Jack in\n the box"
$7821.25,Wells Fargo,"Mcdon\nalds"
$7822.25,Bank of America,"Wen\ndys"
$7823.25,Chase,"Apple\n Store"
$7824.25,Wells Fargo,"Microsoft\n Store"
$7825.25,Bank of America,"Jack in\n the box"
$7826.25,Chase,"Mcdon\nalds"
$7827.25,Wells Fargo,"Wen\ndys"
$7828.25,Bank of America,"Apple\n Store"
$7829.25,Chase,"Microsoft\n Store"
$7830.25,Wells Fargo,"Jack in\n the box"
$7831.25,Bank of America,"Mcdon\nalds"
$7832.25,Chase,"Wen\ndys"
$7833.25,Wells Fargo,"Apple\n Store"
$7834.25,Bank of America,"Microsoft\n Store"
$7835.25,Chase,"Jack in\n the box"
$7836.25,Wells Fargo,"Mcdon\nalds"
$7837.25,Bank of America,"Wen\ndys"
$7838.25,Chase,"Apple\n Store"
$7839.25,Wells Fargo,"Microsoft\n Store"
$7840.25,Bank of America,"Jack in\n the box"
$7841.25,Chase,"Mcdon\nalds"
$7842.25,Wells Fargo,"Wen\ndys"
$7843.25,Bank of America,"Apple\n Store"
$7844.25,Chase,"Microsoft\n Store"
$7845.25,Wells Fargo,"Jack in\n the box"
$7846.25,Bank of America,"Mcdon\nalds"
$7847.25,Chase,"Wen\ndys"
$7848.25,Wells Fargo,"Apple\n Store"
$7849.25,Bank of America,"Microsoft\n Store"
$7850.25,Chase,"Jack in\n the box"
$7851.25,Wells Fargo,"Mcdon\nalds"
$7852.25,Bank of America,"Wen\ndys"
$7853.25,Chase,"Apple\n Store"
$7854.25,Wells Fargo,"Microsoft\n Store"
$7855.25,Bank of America,"Jack in\n the box"
$7856.25,Chase,"Mcdon\nalds"
$7857.25,Wells Fargo,"Wen\ndys"
$7858.25,Bank of America,"Apple\n Store"
$7859.25,Chase,"Microsoft\n Store"
$7860.25,Wells Fargo,"Jack in\n the box"
$7861.25,Bank of America,"Mcdon\nalds"
$7862.25,Chase,"Wen\ndys"
$7863.25,Wells Fargo,"Apple\n Store"
$7864.25,Bank of America,"Microsoft\n Store"
$7865.25,Chase,"Jack in\n the box"
$7866.25,Wells Fargo,"Mcdon\nalds"
$7867.25,Bank of America,"Wen\ndys"
$7868.25,Chase,"Apple\n Store"
$7869.25,Wells Fargo,"Microsoft\n Store"
$7870.25,Bank of America,"Jack in\n the box"
$7871.25,Chase,"Mcdon\nalds"
$7872.25,Wells Fargo,"Wen\ndys"
$7873.25,Bank of America,"Apple\n Store"
$7874.25,Chase,"Microsoft\n Store"
$7875.25,Wells Fargo,"Jack in\n the box"
$7876.25,Bank of America,"Mcdon\nalds"
$7877.25,Chase,"Wen\ndys"
$7878.25,Wells Fargo,"Apple\n Store"
$7879.25,Bank of America,"Microsoft\n Store"
$7880.25,Chase,"Jack in\n the box"
$7881.25,Wells Fargo,"Mcdon\nalds"
$7882.25,Bank of America,"Wen\ndys"
$7883.25,Chase,"Apple\n Store"
$7884.25,Wells Fargo,"Microsoft\n Store"
$7885.25,Bank of America,"Jack in\n the box"
$7886.25,Chase,"Mcdon\nalds"
$7887.25,Wells Fargo,"Wen\ndys"
$7888.25,Bank of America,"Apple\n Store"
$7889.25,Chase,"Microsoft\n Store"
$7890.25,Wells Fargo,"Jack in\n the box"
$7891.25,Bank of America,"Mcdon\nalds"
$7892.25,Chase,"Wen\ndys"
$7893.25,Wells Fargo,"Apple\n Store"
$7894.25,Bank of America,"Microsoft\n Store"
$7895.25,Chase,"Jack in\n the box"
$7896.25,Wells Fargo,"Mcdon\nalds"
$7897.25,Bank of America,"Wen\ndys"
$7898.25,Chase,"Apple\n Store"
$7899.25,Wells Fargo,"Microsoft\n Store"
$7900.25,Bank of America,"Jack in\n the box"
$7901.25,Chase,"Mcdon\nalds"
$7902.25,Wells Fargo,"Wen\ndys"
$7903.25,Bank of America,"Apple\n Store"
$7904.25,Chase,"Microsoft\n Store"
$7905.25,Wells Fargo,"Jack in\n the box"
$7906.25,Bank of America,"Mcdon\nalds"
$7907.25,Chase,"Wen\ndys"
$7908.25,Wells Fargo,"Apple\n Store"
$7909.25,Bank of America,"Microsoft\n Store"
$7910.25,Chase,"Jack in\n the box"
$7911.25,Wells Fargo,"Mcdon\nalds"
$7912.25,Bank of America,"Wen\ndys"
$7913.25,Chase,"Apple\n Store"
$7914.25,Wells Fargo,"Microsoft\n Store"
$7915.25,Bank of America,"Jack in\n the box"
$7916.25,Chase,"Mcdon\nalds"
$7917.25,Wells Fargo,"Wen\ndys"
$7918.25,Bank of America,"Apple\n Store"
$7919.25,Chase,"Microsoft\n Store"
$7920.25,Wells Fargo,"Jack in\n the box"
$7921.25,Bank of America,"Mcdon\nalds"
$7922.25,Chase,"Wen\ndys"
$7923.25,Wells Fargo,"Apple\n Store"
$7924.25,Bank of America,"Microsoft\n Store"
$7925.25,Chase,"Jack in\n the box"
$7926.25,Wells Fargo,"Mcdon\nalds"
$7927.25,Bank of America,"Wen\ndys"
$7928.25,Chase,"Apple\n Store"
$7929.25,Wells Fargo,"Microsoft\n Store"
$7930.25,Bank of America,"Jack in\n the box"
$7931.25,Chase,"Mcdon\nalds"
$7932.25,Wells Fargo,"Wen\ndys"
$7933.25,Bank of America,"Apple\n Store"
$7934.25,Chase,"Microsoft\n Store"
$7935.25,Wells Fargo,"Jack in\n the box"
$7936.25,Bank of America,"Mcdon\nalds"
$7937.25,Chase,"Wen\ndys"
$7938.25,Wells Fargo,"Apple\n Store"
$7939.25,Bank of America,"Microsoft\n Store"
$7940.25,Chase,"Jack in\n the box"
$7941.25,Wells Fargo,"Mcdon\nalds"
$7942.25,Bank of America,"Wen\ndys"
$7943.25,Chase,"Apple\n Store"
$7944.25,Wells Fargo,"Microsoft\n Store"
$7945.25,Bank of America,"Jack in\n the box"
$7946.25,Chase,"Mcdon\nalds"
$7947.25,Wells Fargo,"Wen\ndys"
$7948.25,Bank of America,"Apple\n Store"
$7949.25,Chase,"Microsoft\n Store"
$7950.25,Wells Fargo,"Jack in\n the box"
$7951.25,Bank of America,"Mcdon\nalds"
$7952.25,Chase,"Wen\ndys"
$7953.25,Wells Fargo,"Apple\n Store"
$7954.25,Bank of America,"Microsoft\n Store"
$7955.25,Chase,"Jack in\n the box"
$7956.25,Wells Fargo,"Mcdon\nalds"
$7957.25,Bank of America,"Wen\ndys"
$7958.25,Chase,"Apple\n Store"
$7959.25,Wells Fargo,"Microsoft\n Store"
$7960.25,Bank of America,"Jack in\n the box"
$7961.25,Chase,"Mcdon\nalds"
$7962.25,Wells Fargo,"Wen\ndys"
$7963.25,Bank of America,"Apple\n Store"
$7964.25,Chase,"Microsoft\n Store"
$7965.25,Wells Fargo,"Jack in\n the box"
$7966.25,Bank of America,"Mcdon\nalds"
$7967.25,Chase,"Wen\ndys"
$7968.25,Wells Fargo,"Apple\n Store"
$7969.25,Bank of America,"Microsoft\n Store"
$7970.25,Chase,"Jack in\n the box"
$7971.25,Wells Fargo,"Mcdon\nalds"
$7972.25,Bank of America,"Wen\ndys"
$7973.25,Chase,"Apple\n Store"
$7974.25,Wells Fargo,"Microsoft\n Store"
$7975.25,Bank of America,"Jack in\n the box"
$7976.25,Chase,"Mcdon\nalds"
$7977.25,Wells Fargo,"Wen\ndys"
$7978.25,Bank of America,"Apple\n Store"
$7979.25,Chase,"Microsoft\n Store"
$7980.25,Wells Fargo,"Jack in\n the box"
$7981.25,Bank of America,"Mcdon\nalds"
$7982.25,Chase,"Wen\ndys"
$7983.25,Wells Fargo,"Apple\n Store"
$7984.25,Bank of America,"Microsoft\n Store"
$7985.25,Chase,"Jack in\n the box"
$7986.25,Wells Fargo,"Mcdon\nalds"
$7987.25,Bank of America,"Wen\ndys"
$7988.25,Chase,"Apple\n Store"
$7989.25,Wells Fargo,"Microsoft\n Store"
$7990.25,Bank of America,"Jack in\n the box"
$7991.25,Chase,"Mcdon\nalds"
$7992.25,Wells Fargo,"Wen\ndys"
$7993.25,Bank of America,"Apple\n Store"
$7994.25,Chase,"Microsoft\n Store"
$7995.25,Wells Fargo,"Jack in\n the box"
$7996.25,Bank of America,"Mcdon\nalds"
$7997.25,Chase,"Wen\ndys"
$7998.25,Wells Fargo,"Apple\n Store"
$7999.25,Bank of America,"Microsoft\n Store"
$8000.25,Chase,"Jack in\n the box"
$8001.25,Wells Fargo,"Mcdon\nalds"
$8002.25,Bank of America,"Wen\ndys"
$8003.25,Chase,"Apple\n Store"
